<Mach-1 File>
<INFO>
Date:	Mon, May 02, 2022
Time:	12:24:37.134
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561159
Mach-1 System Model:	V500c
Load Cell Name:	25gf - SN: 423140
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	0.996524
Load Cell Offset:	-4.722500
Load Cell Calibration Date:	2022-05-02
<END INFO>
<Move Absolute>
Stage Axis:	Position (z)
Position, mm:	-1.1000
Velocity, mm/s:	0.2500
<DATA>
Time, s	Position (z), mm	Fz, gf
0.090000	-1.100100	0.001246
0.100000	-1.100000	0.000000
0.110000	-1.100000	0.001246
0.120000	-1.100000	0.001246
0.130000	-1.100000	0.001246
0.140000	-1.100000	0.001246
0.150000	-1.100000	0.001246
0.160000	-1.100000	0.001246
0.170000	-1.100000	0.001246
0.180000	-1.100000	0.001246
0.190000	-1.100000	0.001246
0.200000	-1.100000	0.000000
0.210000	-1.100000	0.000000
0.220000	-1.100000	0.000000
0.230000	-1.100000	0.000000
0.240000	-1.100000	0.000000
0.250000	-1.100000	0.001246
0.260000	-1.100000	0.001246
0.270000	-1.100000	0.000000
0.280000	-1.100000	-0.001246
0.290000	-1.100000	0.000000
0.300000	-1.100000	0.000000
0.310000	-1.100000	0.001246
0.320000	-1.100000	0.000000
0.330000	-1.100000	0.001246
0.340000	-1.100000	0.000000
0.350000	-1.100000	0.000000
0.360000	-1.100000	0.000000
0.370000	-1.100000	0.001246
0.380000	-1.100000	0.001246
0.390000	-1.100000	0.001246
0.400000	-1.100000	0.001246
0.410000	-1.100000	0.001246
0.420000	-1.100000	0.000000
0.430000	-1.100000	0.000000
0.440000	-1.099900	0.000000
0.450000	-1.099900	0.001246
0.460000	-1.099900	0.000000
0.470000	-1.099900	0.001246
0.480000	-1.099900	0.001246
0.490000	-1.099900	0.001246
0.500000	-1.099900	0.001246
0.510000	-1.099900	0.000000
0.520000	-1.099900	0.000000
0.530000	-1.099900	0.001246
0.540000	-1.099900	0.000000
0.550000	-1.099800	0.000000
0.560000	-1.099800	0.001246
0.570000	-1.099800	0.002491
0.580000	-1.099800	0.001246
0.590000	-1.099800	0.000000
0.600000	-1.099700	0.000000
0.610000	-1.099700	0.001246
0.620000	-1.099700	0.001246
0.630000	-1.099700	0.001246
0.640000	-1.099700	0.001246
0.650000	-1.099700	0.001246
0.660000	-1.099600	0.000000
0.670000	-1.099600	0.000000
0.680000	-1.099600	0.001246
0.690000	-1.099600	0.001246
0.700000	-1.099600	0.001246
0.710000	-1.099500	0.000000
0.720000	-1.099500	0.000000
0.730000	-1.099500	0.001246
0.740000	-1.099500	0.001246
0.750000	-1.099500	0.002491
0.760000	-1.099500	0.001246
0.770000	-1.099500	0.000000
0.780000	-1.099500	0.000000
0.790000	-1.099400	0.000000
0.800000	-1.099400	0.001246
0.810000	-1.099300	0.001246
0.820000	-1.099300	-0.001246
0.830000	-1.099200	-0.001246
0.840000	-1.099200	0.001246
0.850000	-1.099100	0.001246
0.860000	-1.099100	0.000000
0.870000	-1.099000	0.000000
0.880000	-1.099000	0.000000
0.890000	-1.098900	0.001246
0.900000	-1.098900	0.000000
0.910000	-1.098800	0.000000
0.920000	-1.098800	0.000000
0.930000	-1.098800	0.000000
0.940000	-1.098700	0.002491
0.950000	-1.098700	0.002491
0.960000	-1.098600	0.001246
0.970000	-1.098600	0.000000
0.980000	-1.098600	-0.001246
0.990000	-1.098500	0.000000
1.000000	-1.098500	0.001246
1.010000	-1.098400	0.001246
1.020000	-1.098400	0.000000
1.030000	-1.098300	-0.001246
1.040000	-1.098300	0.000000
1.050000	-1.098200	0.002491
1.060000	-1.098200	0.002491
1.070000	-1.098100	0.000000
1.080000	-1.098100	0.000000
1.090000	-1.098000	0.001246
1.100000	-1.098000	0.000000
1.110000	-1.097900	0.000000
1.120000	-1.097800	-0.002491
1.130000	-1.097800	0.000000
1.140000	-1.097700	0.001246
1.150000	-1.097600	0.001246
1.160000	-1.097600	0.001246
1.170000	-1.097600	0.000000
1.180000	-1.097500	0.000000
1.190000	-1.097500	0.001246
1.200000	-1.097400	0.001246
1.210000	-1.097400	0.000000
1.220000	-1.097300	-0.001246
1.230000	-1.097300	0.000000
1.240000	-1.097300	0.000000
1.250000	-1.097200	0.000000
1.260000	-1.097200	0.000000
1.270000	-1.097100	0.001246
1.280000	-1.097100	0.002491
1.290000	-1.097000	0.001246
1.300000	-1.096900	0.001246
1.310000	-1.096800	-0.001246
1.320000	-1.096700	-0.001246
1.330000	-1.096600	0.000000
1.340000	-1.096600	0.000000
1.350000	-1.096500	0.001246
1.360000	-1.096500	0.000000
1.370000	-1.096400	0.000000
1.380000	-1.096300	0.000000
1.390000	-1.096300	0.000000
1.400000	-1.096200	0.001246
1.410000	-1.096200	0.000000
1.420000	-1.096200	0.000000
