<Mach-1 File>
<INFO>
Date:	Thu, May 19, 2022
Time:	14:09:51.048
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561159
Mach-1 System Model:	V500c
Load Cell Name:	25gf - SN: 423140
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	0.994603
Load Cell Offset:	-4.856250
Load Cell Calibration Date:	2022-05-19
<END INFO>
<Move Absolute>
Stage Axis:	Position (z)
Position, mm:	-7.2000
Velocity, mm/s:	0.2500
<DATA>
Time, s	Position (z), mm	Fz, gf
7.540000	-6.886700	0.004973
7.550000	-6.886700	0.007460
7.560000	-6.886700	0.002487
7.570000	-6.886700	-0.003730
7.580000	-6.886700	-0.004973
7.590000	-6.886700	-0.003730
7.600000	-6.886700	0.000000
7.610000	-6.886700	0.002487
7.620000	-6.886700	0.002487
7.630000	-6.886700	0.001243
7.640000	-6.886700	-0.001243
7.650000	-6.886700	-0.002487
7.660000	-6.886700	0.000000
7.670000	-6.886700	0.001243
7.680000	-6.886700	0.001243
7.690000	-6.886700	0.001243
7.700000	-6.886700	0.000000
7.710000	-6.886700	0.000000
7.720000	-6.886700	0.000000
7.730000	-6.886700	0.000000
7.740000	-6.886700	0.000000
7.750000	-6.886700	0.001243
7.760000	-6.886700	0.001243
7.770000	-6.886700	0.000000
7.780000	-6.886700	0.000000
7.790000	-6.886700	0.001243
7.800000	-6.886700	0.001243
7.810000	-6.886700	0.000000
7.820000	-6.886700	-0.001243
7.830000	-6.886700	-0.001243
7.840000	-6.886700	0.000000
7.850000	-6.886700	0.001243
7.860000	-6.886700	0.001243
7.870000	-6.886700	0.002487
7.880000	-6.886700	0.001243
7.890000	-6.886700	0.000000
7.900000	-6.886700	-0.001243
7.910000	-6.886700	-0.001243
7.920000	-6.886700	0.000000
7.930000	-6.886700	0.000000
7.940000	-6.886700	0.000000
7.950000	-6.886700	0.000000
7.960000	-6.886700	0.000000
7.970000	-6.886700	0.000000
7.980000	-6.886700	0.000000
7.990000	-6.886700	-0.001243
8.000000	-6.886700	0.000000
8.010000	-6.886700	0.001243
8.020000	-6.886700	0.001243
8.030000	-6.886700	-0.001243
8.040000	-6.886700	-0.001243
8.050000	-6.886700	0.001243
8.060000	-6.886700	0.002487
8.070000	-6.886700	-0.001243
8.080000	-6.886700	-0.003730
8.090000	-6.886700	-0.001243
8.100000	-6.886700	0.002487
8.110000	-6.886700	0.004973
8.120000	-6.886700	0.001243
8.130000	-6.886700	-0.001243
8.140000	-6.886700	-0.001243
8.150000	-6.886700	0.002487
8.160000	-6.886700	0.002487
8.170000	-6.886700	-0.001243
8.180000	-6.886700	-0.001243
8.190000	-6.886700	0.000000
8.200000	-6.886700	0.002487
8.210000	-6.886700	0.001243
8.220000	-6.886700	0.000000
8.230000	-6.886700	0.000000
8.240000	-6.886700	0.000000
8.250000	-6.886700	0.000000
8.260000	-6.886700	0.000000
8.270000	-6.886700	0.000000
8.280000	-6.886700	0.001243
8.290000	-6.886700	0.001243
8.300000	-6.886700	0.000000
8.310000	-6.886700	0.000000
8.320000	-6.886700	-0.001243
8.330000	-6.886700	0.000000
8.340000	-6.886700	-0.001243
8.350000	-6.886700	0.000000
8.360000	-6.886700	0.001243
8.370000	-6.886700	0.000000
8.380000	-6.886700	0.000000
8.390000	-6.886700	0.000000
8.400000	-6.886700	0.000000
8.410000	-6.886700	0.000000
8.420000	-6.886700	0.000000
8.430000	-6.886700	0.001243
8.440000	-6.886700	0.001243
8.450000	-6.886700	0.001243
8.460000	-6.886700	0.000000
8.470000	-6.886700	-0.001243
8.480000	-6.886700	-0.001243
8.490000	-6.886700	-0.001243
8.500000	-6.886700	0.001243
8.510000	-6.886700	0.001243
8.520000	-6.886700	0.001243
8.530000	-6.886700	0.000000
8.540000	-6.886700	0.000000
8.550000	-6.886700	0.000000
8.560000	-6.886700	0.000000
8.570000	-6.886700	0.000000
8.580000	-6.886700	0.000000
8.590000	-6.886700	0.001243
8.600000	-6.886700	0.001243
8.610000	-6.886700	0.000000
8.620000	-6.886700	0.000000
8.630000	-6.886700	0.001243
8.640000	-6.886700	0.002487
8.650000	-6.886700	-0.001243
8.660000	-6.886700	-0.002487
8.670000	-6.886700	-0.002487
8.680000	-6.886700	0.000000
8.690000	-6.886700	0.002487
8.700000	-6.886700	0.002487
8.710000	-6.886700	0.000000
8.720000	-6.886700	-0.001243
8.730000	-6.886700	0.000000
8.740000	-6.886700	-0.001243
8.750000	-6.886700	-0.002487
8.760000	-6.886700	-0.001243
8.770000	-6.886700	0.001243
8.780000	-6.886700	0.001243
8.790000	-6.886700	-0.001243
8.800000	-6.886700	-0.001243
8.810000	-6.886700	0.000000
8.820000	-6.886700	0.000000
8.830000	-6.886700	0.000000
8.840000	-6.886700	0.000000
8.850000	-6.886700	0.000000
8.860000	-6.886700	0.000000
8.870000	-6.886700	0.001243
8.880000	-6.886700	0.000000
8.890000	-6.886700	-0.001243
8.900000	-6.886700	-0.001243
8.910000	-6.886700	-0.001243
8.920000	-6.886700	-0.001243
8.930000	-6.886700	0.000000
8.940000	-6.886700	0.001243
8.950000	-6.886700	0.000000
8.960000	-6.886700	0.000000
8.970000	-6.886700	0.000000
8.980000	-6.886700	-0.001243
8.990000	-6.886700	0.000000
9.000000	-6.886700	0.001243
9.010000	-6.886700	0.001243
9.020000	-6.886700	0.000000
9.030000	-6.886700	0.000000
9.040000	-6.886700	0.000000
9.050000	-6.886700	-0.001243
9.060000	-6.886700	0.000000
9.070000	-6.886700	-0.001243
9.080000	-6.886700	0.000000
9.090000	-6.886700	0.000000
9.100000	-6.886700	0.001243
9.110000	-6.886700	0.000000
9.120000	-6.886700	0.000000
9.130000	-6.886700	0.000000
9.140000	-6.886700	0.001243
9.150000	-6.886700	0.000000
9.160000	-6.886700	0.000000
9.170000	-6.886700	0.000000
9.180000	-6.886700	0.000000
9.190000	-6.886700	0.000000
9.200000	-6.886700	0.000000
9.210000	-6.886700	0.001243
9.220000	-6.886700	0.001243
9.230000	-6.886700	0.000000
9.240000	-6.886700	-0.002487
9.250000	-6.886700	-0.002487
9.260000	-6.886700	0.001243
9.270000	-6.886700	0.003730
9.280000	-6.886700	0.000000
9.290000	-6.886700	-0.002487
9.300000	-6.886700	-0.001243
9.310000	-6.886700	0.000000
9.320000	-6.886700	0.000000
9.330000	-6.886700	-0.001243
9.340000	-6.886700	-0.001243
9.350000	-6.886700	0.000000
9.360000	-6.886700	0.000000
9.370000	-6.886700	0.000000
9.380000	-6.886700	-0.001243
9.390000	-6.886700	0.000000
9.400000	-6.886700	0.000000
9.410000	-6.886700	0.000000
9.420000	-6.886700	0.000000
9.430000	-6.886700	-0.001243
9.440000	-6.886700	-0.001243
9.450000	-6.886700	0.000000
9.460000	-6.886700	0.000000
9.470000	-6.886700	0.000000
9.480000	-6.886700	0.000000
9.490000	-6.886700	0.000000
9.500000	-6.886700	0.000000
9.510000	-6.886700	0.000000
9.520000	-6.886700	0.000000
9.530000	-6.886700	-0.001243
9.540000	-6.886700	-0.001243
9.550000	-6.886700	-0.001243
9.560000	-6.886700	0.000000
9.570000	-6.886700	0.000000
9.580000	-6.886700	0.000000
9.590000	-6.886700	0.000000
9.600000	-6.886700	-0.001243
9.610000	-6.886700	-0.001243
9.620000	-6.886700	0.000000
9.630000	-6.886700	0.000000
9.640000	-6.886700	-0.001243
9.650000	-6.886700	0.000000
9.660000	-6.886700	0.000000
9.670000	-6.886700	-0.001243
9.680000	-6.886700	0.000000
9.690000	-6.886700	0.001243
9.700000	-6.886700	0.000000
9.710000	-6.886700	0.000000
9.720000	-6.886700	0.000000
9.730000	-6.886700	-0.001243
9.740000	-6.886700	-0.002487
9.750000	-6.886700	-0.001243
9.760000	-6.886700	0.000000
9.770000	-6.886700	0.001243
9.780000	-6.886700	0.000000
9.790000	-6.886700	-0.001243
9.800000	-6.886700	-0.002487
9.810000	-6.886700	0.000000
9.820000	-6.886700	0.000000
9.830000	-6.886700	-0.002487
9.840000	-6.886700	-0.003730
9.850000	-6.886700	-0.001243
9.860000	-6.886700	0.002487
9.870000	-6.886700	0.002487
9.880000	-6.886700	0.001243
9.890000	-6.886700	0.000000
9.900000	-6.886700	0.000000
9.910000	-6.886700	0.000000
9.920000	-6.886700	-0.001243
9.930000	-6.886700	-0.002487
9.940000	-6.886700	-0.001243
9.950000	-6.886700	0.000000
9.960000	-6.886700	0.001243
9.970000	-6.886700	0.000000
9.980000	-6.886700	-0.001243
9.990000	-6.886700	-0.001243
10.000000	-6.886700	0.000000
10.010000	-6.886700	0.001243
10.020000	-6.886700	0.000000
10.030000	-6.886700	-0.002487
10.040000	-6.886700	-0.001243
10.050000	-6.886700	0.001243
10.060000	-6.886700	0.000000
10.070000	-6.886700	-0.001243
10.080000	-6.886700	-0.001243
10.090000	-6.886700	0.000000
10.100000	-6.886700	0.000000
10.110000	-6.886700	-0.001243
10.120000	-6.886700	0.000000
10.130000	-6.886700	0.000000
10.140000	-6.886700	-0.001243
10.150000	-6.886700	-0.001243
10.160000	-6.886700	0.000000
10.170000	-6.886700	0.000000
10.180000	-6.886700	0.000000
10.190000	-6.886700	0.000000
10.200000	-6.886700	0.000000
10.210000	-6.886700	-0.001243
10.220000	-6.886700	0.000000
10.230000	-6.886700	-0.001243
10.240000	-6.886700	-0.001243
10.250000	-6.886700	-0.001243
10.260000	-6.886700	-0.001243
10.270000	-6.886700	-0.001243
10.280000	-6.886700	-0.002487
10.290000	-6.886700	-0.001243
10.300000	-6.886700	0.000000
10.310000	-6.886700	-0.001243
10.320000	-6.886700	-0.001243
10.330000	-6.886700	0.000000
10.340000	-6.886700	0.000000
10.350000	-6.886700	0.000000
10.360000	-6.886700	-0.001243
10.370000	-6.886700	-0.001243
10.380000	-6.886700	-0.001243
10.390000	-6.886700	0.000000
10.400000	-6.886700	0.001243
10.410000	-6.886700	-0.001243
10.420000	-6.886700	-0.003730
10.430000	-6.886700	-0.001243
10.440000	-6.886700	0.001243
10.450000	-6.886700	0.001243
10.460000	-6.886700	0.000000
10.470000	-6.886700	0.000000
10.480000	-6.886700	0.000000
10.490000	-6.886700	0.001243
10.500000	-6.886700	0.001243
10.510000	-6.886700	-0.002487
10.520000	-6.886700	-0.002487
10.530000	-6.886700	0.000000
10.540000	-6.886700	0.000000
10.550000	-6.886700	0.000000
10.560000	-6.886700	-0.001243
10.570000	-6.886700	-0.002487
10.580000	-6.886700	0.000000
10.590000	-6.886700	0.000000
10.600000	-6.886700	0.000000
10.610000	-6.886700	-0.001243
10.620000	-6.886700	-0.001243
10.630000	-6.886700	0.000000
10.640000	-6.886700	0.000000
10.650000	-6.886700	-0.001243
10.660000	-6.886700	0.000000
10.670000	-6.886700	0.000000
10.680000	-6.886700	-0.001243
10.690000	-6.886700	0.000000
10.700000	-6.886700	0.000000
10.710000	-6.886700	0.000000
10.720000	-6.886700	0.000000
10.730000	-6.886700	-0.001243
10.740000	-6.886700	-0.001243
10.750000	-6.886700	-0.001243
10.760000	-6.886700	-0.001243
10.770000	-6.886700	-0.001243
10.780000	-6.886700	-0.001243
10.790000	-6.886700	-0.001243
10.800000	-6.886700	0.000000
10.810000	-6.886700	-0.001243
10.820000	-6.886700	-0.001243
10.830000	-6.886700	-0.001243
10.840000	-6.886700	-0.001243
10.850000	-6.886700	0.000000
10.860000	-6.886700	-0.001243
10.870000	-6.886700	0.000000
10.880000	-6.886700	-0.001243
10.890000	-6.886700	-0.001243
10.900000	-6.886700	-0.001243
10.910000	-6.886700	-0.001243
10.920000	-6.886700	0.000000
10.930000	-6.886700	0.000000
10.940000	-6.886700	0.000000
10.950000	-6.886700	-0.001243
10.960000	-6.886700	0.001243
10.970000	-6.886700	0.002487
10.980000	-6.886700	-0.001243
10.990000	-6.886700	-0.004973
11.000000	-6.886700	-0.004973
11.010000	-6.886700	-0.001243
11.020000	-6.886700	0.002487
11.030000	-6.886700	0.003730
11.040000	-6.886700	0.001243
11.050000	-6.886700	0.000000
11.060000	-6.886700	-0.001243
11.070000	-6.886700	-0.002487
11.080000	-6.886700	-0.002487
11.090000	-6.886700	-0.001243
11.100000	-6.886700	0.002487
11.110000	-6.886700	0.002487
11.120000	-6.886700	0.001243
11.130000	-6.886700	-0.001243
11.140000	-6.886700	-0.001243
11.150000	-6.886700	0.000000
11.160000	-6.886700	0.001243
11.170000	-6.886700	0.000000
11.180000	-6.886700	0.000000
11.190000	-6.886700	0.000000
11.200000	-6.886700	0.000000
11.210000	-6.886700	-0.001243
11.220000	-6.886700	0.000000
11.230000	-6.886700	0.000000
11.240000	-6.886700	0.000000
11.250000	-6.886700	-0.001243
11.260000	-6.886700	-0.001243
11.270000	-6.886700	-0.001243
11.280000	-6.886700	0.000000
11.290000	-6.886700	0.000000
11.300000	-6.886700	0.000000
11.310000	-6.886700	0.000000
11.320000	-6.886700	-0.001243
11.330000	-6.886700	-0.001243
11.340000	-6.886700	-0.001243
11.350000	-6.886700	0.000000
11.360000	-6.886700	0.001243
11.370000	-6.886700	0.001243
11.380000	-6.886700	0.000000
11.390000	-6.886700	0.000000
11.400000	-6.886700	-0.001243
11.410000	-6.886700	-0.001243
11.420000	-6.886700	-0.001243
11.430000	-6.886700	-0.001243
11.440000	-6.886700	0.001243
11.450000	-6.886700	-0.001243
11.460000	-6.886700	-0.002487
11.470000	-6.886700	-0.002487
11.480000	-6.886700	0.000000
11.490000	-6.886700	0.001243
11.500000	-6.886700	0.000000
11.510000	-6.886700	-0.001243
11.520000	-6.886700	-0.001243
11.530000	-6.886700	0.000000
11.540000	-6.886700	0.002487
11.550000	-6.886700	-0.001243
11.560000	-6.886700	-0.006216
11.570000	-6.886700	-0.003730
11.580000	-6.886700	0.001243
11.590000	-6.886700	0.003730
11.600000	-6.886700	0.002487
11.610000	-6.886700	0.001243
11.620000	-6.886700	0.000000
11.630000	-6.886700	-0.001243
11.640000	-6.886700	-0.001243
11.650000	-6.886700	-0.001243
11.660000	-6.886700	-0.001243
11.670000	-6.886700	0.000000
11.680000	-6.886700	0.001243
11.690000	-6.886700	0.001243
11.700000	-6.886700	-0.001243
11.710000	-6.886700	-0.002487
11.720000	-6.886700	-0.001243
11.730000	-6.886700	0.000000
11.740000	-6.886700	0.000000
11.750000	-6.886700	0.000000
11.760000	-6.886700	0.000000
11.770000	-6.886700	-0.001243
11.780000	-6.886700	-0.001243
11.790000	-6.886700	-0.001243
11.800000	-6.886700	-0.001243
11.810000	-6.886700	0.000000
11.820000	-6.886700	-0.001243
11.830000	-6.886700	-0.001243
11.840000	-6.886700	0.000000
11.850000	-6.886700	0.001243
11.860000	-6.886700	0.000000
11.870000	-6.886700	0.000000
11.880000	-6.886700	0.000000
11.890000	-6.886700	-0.001243
11.900000	-6.886700	-0.001243
11.910000	-6.886700	0.000000
11.920000	-6.886700	0.000000
11.930000	-6.886700	0.000000
11.940000	-6.886700	-0.001243
11.950000	-6.886700	-0.001243
11.960000	-6.886700	0.000000
11.970000	-6.886700	-0.001243
11.980000	-6.886700	-0.001243
11.990000	-6.886700	0.000000
12.000000	-6.886700	0.000000
12.010000	-6.886700	-0.001243
12.020000	-6.886700	-0.001243
12.030000	-6.886700	-0.001243
12.040000	-6.886700	-0.002487
12.050000	-6.886700	-0.001243
12.060000	-6.886700	0.001243
12.070000	-6.886700	0.000000
12.080000	-6.886700	-0.001243
12.090000	-6.886700	-0.002487
12.100000	-6.886700	0.000000
12.110000	-6.886700	0.001243
12.120000	-6.886700	-0.003730
12.130000	-6.886700	-0.004973
12.140000	-6.886700	-0.003730
12.150000	-6.886700	-0.001243
12.160000	-6.886700	0.000000
12.170000	-6.886700	0.000000
12.180000	-6.886700	0.001243
12.190000	-6.886700	0.001243
12.200000	-6.886700	0.001243
12.210000	-6.886700	0.000000
12.220000	-6.886700	-0.001243
12.230000	-6.886700	-0.001243
12.240000	-6.886700	-0.001243
12.250000	-6.886700	0.000000
12.260000	-6.886700	0.001243
12.270000	-6.886700	0.001243
12.280000	-6.886700	-0.002487
12.290000	-6.886700	-0.002487
12.300000	-6.886700	-0.001243
12.310000	-6.886700	0.001243
12.320000	-6.886700	0.000000
12.330000	-6.886700	-0.001243
12.340000	-6.886700	0.000000
12.350000	-6.886700	0.000000
12.360000	-6.886700	-0.001243
12.370000	-6.886700	-0.001243
12.380000	-6.886700	-0.001243
12.390000	-6.886700	0.000000
12.400000	-6.886700	0.000000
12.410000	-6.886700	-0.001243
12.420000	-6.886700	-0.002487
12.430000	-6.886700	-0.001243
12.440000	-6.886700	0.000000
12.450000	-6.886700	0.000000
12.460000	-6.886700	0.000000
12.470000	-6.886700	0.001243
12.480000	-6.886700	0.000000
12.490000	-6.886700	-0.001243
12.500000	-6.886700	-0.001243
12.510000	-6.886700	-0.001243
12.520000	-6.886700	0.000000
12.530000	-6.886700	0.000000
12.540000	-6.886700	-0.001243
12.550000	-6.886700	-0.002487
12.560000	-6.886700	-0.002487
12.570000	-6.886700	0.000000
12.580000	-6.886700	0.000000
12.590000	-6.886700	0.000000
12.600000	-6.886700	0.000000
12.610000	-6.886700	0.000000
12.620000	-6.886700	-0.001243
12.630000	-6.886700	-0.001243
12.640000	-6.886700	0.000000
12.650000	-6.886700	0.000000
12.660000	-6.886700	0.000000
12.670000	-6.886700	0.000000
12.680000	-6.886700	0.000000
12.690000	-6.886700	-0.001243
12.700000	-6.886700	-0.001243
12.710000	-6.886700	-0.001243
12.720000	-6.886700	0.000000
12.730000	-6.886700	0.000000
12.740000	-6.886700	-0.001243
12.750000	-6.886700	-0.002487
12.760000	-6.886700	-0.001243
12.770000	-6.886700	-0.001243
12.780000	-6.886700	0.000000
12.790000	-6.886700	-0.001243
12.800000	-6.886700	0.000000
12.810000	-6.886700	0.001243
12.820000	-6.886700	0.001243
12.830000	-6.886700	0.001243
12.840000	-6.886700	0.000000
12.850000	-6.886700	-0.001243
12.860000	-6.886700	-0.002487
12.870000	-6.886700	-0.002487
12.880000	-6.886700	-0.001243
12.890000	-6.886700	0.000000
12.900000	-6.886700	0.000000
12.910000	-6.886700	0.000000
12.920000	-6.886700	-0.001243
12.930000	-6.886700	-0.001243
12.940000	-6.886700	0.000000
12.950000	-6.886700	-0.001243
12.960000	-6.886700	-0.001243
12.970000	-6.886700	0.000000
12.980000	-6.886700	0.000000
12.990000	-6.886700	0.000000
13.000000	-6.886700	-0.001243
13.010000	-6.886700	0.000000
13.020000	-6.886700	0.001243
13.030000	-6.886700	0.000000
13.040000	-6.886700	0.000000
13.050000	-6.886700	0.000000
13.060000	-6.886700	-0.001243
13.070000	-6.886700	0.000000
13.080000	-6.886700	-0.001243
13.090000	-6.886700	0.000000
13.100000	-6.886700	-0.001243
13.110000	-6.886700	0.000000
13.120000	-6.886700	0.000000
13.130000	-6.886700	-0.001243
13.140000	-6.886700	0.000000
13.150000	-6.886700	0.000000
13.160000	-6.886700	-0.001243
13.170000	-6.886700	-0.001243
13.180000	-6.886700	0.000000
13.190000	-6.886700	0.000000
13.200000	-6.886700	-0.001243
13.210000	-6.886700	0.000000
13.220000	-6.886700	0.000000
13.230000	-6.886700	-0.001243
13.240000	-6.886700	-0.002487
13.250000	-6.886700	-0.001243
13.260000	-6.886700	0.000000
13.270000	-6.886700	0.000000
13.280000	-6.886700	0.000000
13.290000	-6.886700	-0.001243
13.300000	-6.886700	-0.002487
13.310000	-6.886700	0.000000
13.320000	-6.886700	0.000000
13.330000	-6.886700	-0.001243
13.340000	-6.886700	-0.001243
13.350000	-6.886700	0.000000
13.360000	-6.886700	0.000000
13.370000	-6.886700	-0.001243
13.380000	-6.886700	0.000000
13.390000	-6.886700	0.000000
13.400000	-6.886700	-0.001243
13.410000	-6.886700	-0.001243
13.420000	-6.886700	0.000000
13.430000	-6.886700	-0.001243
13.440000	-6.886700	-0.001243
13.450000	-6.886700	-0.001243
13.460000	-6.886700	-0.002487
13.470000	-6.886700	-0.002487
13.480000	-6.886700	0.000000
13.490000	-6.886700	0.000000
13.500000	-6.886700	-0.001243
13.510000	-6.886700	0.000000
13.520000	-6.886700	0.000000
13.530000	-6.886700	0.000000
13.540000	-6.886700	0.000000
13.550000	-6.886700	0.000000
13.560000	-6.886700	-0.001243
13.570000	-6.886700	-0.001243
13.580000	-6.886700	-0.001243
13.590000	-6.886700	-0.001243
13.600000	-6.886700	-0.002487
13.610000	-6.886700	-0.001243
13.620000	-6.886700	0.000000
13.630000	-6.886700	0.000000
13.640000	-6.886700	-0.001243
13.650000	-6.886700	-0.001243
13.660000	-6.886700	-0.001243
13.670000	-6.886700	-0.001243
13.680000	-6.886700	-0.001243
13.690000	-6.886700	-0.001243
13.700000	-6.886700	-0.001243
13.710000	-6.886700	-0.001243
13.720000	-6.886700	-0.001243
13.730000	-6.886700	0.000000
13.740000	-6.886700	-0.001243
13.750000	-6.886700	-0.001243
13.760000	-6.886700	-0.001243
13.770000	-6.886700	-0.001243
13.780000	-6.886700	-0.001243
13.790000	-6.886700	-0.001243
13.800000	-6.886700	0.000000
13.810000	-6.886700	-0.001243
13.820000	-6.886700	-0.001243
13.830000	-6.886700	-0.001243
13.840000	-6.886700	-0.001243
13.850000	-6.886700	-0.001243
13.860000	-6.886700	-0.001243
13.870000	-6.886700	0.000000
13.880000	-6.886700	0.000000
13.890000	-6.886700	-0.001243
13.900000	-6.886700	-0.001243
13.910000	-6.886700	-0.001243
13.920000	-6.886700	-0.001243
13.930000	-6.886700	0.000000
13.940000	-6.886700	0.000000
13.950000	-6.886700	-0.001243
13.960000	-6.886700	-0.001243
13.970000	-6.886700	-0.001243
13.980000	-6.886700	0.000000
13.990000	-6.886700	0.000000
14.000000	-6.886700	0.000000
14.010000	-6.886700	-0.001243
14.020000	-6.886700	-0.002487
14.030000	-6.886700	-0.001243
14.040000	-6.886700	-0.001243
14.050000	-6.886700	-0.001243
14.060000	-6.886700	-0.001243
14.070000	-6.886700	-0.001243
14.080000	-6.886700	-0.002487
14.090000	-6.886700	-0.002487
14.100000	-6.886700	-0.001243
14.110000	-6.886700	0.000000
14.120000	-6.886700	0.000000
14.130000	-6.886700	-0.001243
14.140000	-6.886700	-0.001243
14.150000	-6.886700	-0.001243
14.160000	-6.886700	-0.001243
14.170000	-6.886700	0.000000
14.180000	-6.886700	-0.001243
14.190000	-6.886700	-0.001243
14.200000	-6.886700	-0.001243
14.210000	-6.886700	-0.001243
14.220000	-6.886700	-0.001243
14.230000	-6.886700	-0.001243
14.240000	-6.886700	-0.001243
14.250000	-6.886700	-0.001243
14.260000	-6.886700	-0.001243
14.270000	-6.886700	-0.001243
14.280000	-6.886700	0.000000
14.290000	-6.886700	-0.001243
14.300000	-6.886700	0.000000
14.310000	-6.886700	-0.001243
14.320000	-6.886700	-0.002487
14.330000	-6.886700	-0.001243
14.340000	-6.886700	-0.001243
14.350000	-6.886700	-0.001243
14.360000	-6.886700	0.000000
14.370000	-6.886700	0.000000
14.380000	-6.886700	0.000000
14.390000	-6.886700	-0.001243
14.400000	-6.886700	0.000000
14.410000	-6.886700	-0.001243
14.420000	-6.886700	-0.001243
14.430000	-6.886700	0.000000
14.440000	-6.886700	0.000000
14.450000	-6.886700	-0.002487
14.460000	-6.886700	-0.002487
14.470000	-6.886700	-0.001243
14.480000	-6.886700	-0.001243
14.490000	-6.886700	0.000000
14.500000	-6.886700	0.000000
14.510000	-6.886700	0.000000
14.520000	-6.886700	-0.001243
14.530000	-6.886700	-0.001243
14.540000	-6.886700	-0.001243
14.550000	-6.886700	-0.001243
14.560000	-6.886700	-0.001243
14.570000	-6.886700	0.000000
14.580000	-6.886700	-0.001243
14.590000	-6.886700	-0.002487
14.600000	-6.886700	-0.001243
14.610000	-6.886700	-0.001243
14.620000	-6.886700	-0.001243
14.630000	-6.886700	0.000000
14.640000	-6.886700	0.000000
14.650000	-6.886700	-0.001243
14.660000	-6.886700	-0.001243
14.670000	-6.886700	0.000000
14.680000	-6.886700	0.000000
14.690000	-6.886700	-0.001243
14.700000	-6.886700	-0.001243
14.710000	-6.886700	-0.001243
14.720000	-6.886700	0.000000
14.730000	-6.886700	0.000000
14.740000	-6.886700	-0.001243
14.750000	-6.886700	-0.001243
14.760000	-6.886700	-0.001243
14.770000	-6.886700	-0.001243
14.780000	-6.886700	0.000000
14.790000	-6.886700	-0.001243
14.800000	-6.886700	-0.001243
14.810000	-6.886700	-0.001243
14.820000	-6.886700	0.000000
14.830000	-6.886700	0.000000
14.840000	-6.886700	-0.001243
14.850000	-6.886700	0.000000
14.860000	-6.886700	0.000000
14.870000	-6.886700	-0.001243
14.880000	-6.886700	-0.002487
14.890000	-6.886700	-0.002487
14.900000	-6.886700	-0.002487
14.910000	-6.886700	0.000000
14.920000	-6.886700	-0.001243
14.930000	-6.886700	-0.001243
14.940000	-6.886700	-0.001243
14.950000	-6.886700	-0.001243
14.960000	-6.886700	-0.001243
14.970000	-6.886700	-0.001243
14.980000	-6.886700	0.000000
14.990000	-6.886700	0.000000
15.000000	-6.886700	-0.002487
15.010000	-6.886700	-0.001243
15.020000	-6.886700	0.000000
15.030000	-6.886700	-0.001243
15.040000	-6.886700	-0.001243
15.050000	-6.886700	0.000000
15.060000	-6.886700	-0.001243
15.070000	-6.886700	-0.002487
15.080000	-6.886700	-0.001243
15.090000	-6.886700	-0.001243
15.100000	-6.886700	-0.001243
15.110000	-6.886700	0.000000
15.120000	-6.886700	0.000000
15.130000	-6.886700	-0.001243
15.140000	-6.886700	-0.002487
15.150000	-6.886700	-0.001243
15.160000	-6.886700	-0.001243
15.170000	-6.886700	-0.001243
15.180000	-6.886700	-0.001243
15.190000	-6.886700	0.000000
15.200000	-6.886700	-0.001243
15.210000	-6.886700	-0.001243
15.220000	-6.886700	0.000000
15.230000	-6.886700	-0.001243
15.240000	-6.886700	0.000000
15.250000	-6.886700	0.000000
15.260000	-6.886700	0.000000
15.270000	-6.886700	-0.001243
15.280000	-6.886700	-0.001243
15.290000	-6.886700	-0.001243
15.300000	-6.886700	-0.002487
15.310000	-6.886700	-0.002487
15.320000	-6.886700	-0.001243
15.330000	-6.886700	-0.001243
15.340000	-6.886700	0.000000
15.350000	-6.886700	0.000000
15.360000	-6.886700	-0.001243
15.370000	-6.886700	-0.001243
15.380000	-6.886700	-0.001243
15.390000	-6.886700	-0.001243
15.400000	-6.886700	0.000000
15.410000	-6.886700	-0.001243
15.420000	-6.886700	0.000000
15.430000	-6.886700	-0.001243
15.440000	-6.886700	-0.002487
15.450000	-6.886700	-0.001243
15.460000	-6.886700	-0.001243
15.470000	-6.886700	-0.001243
15.480000	-6.886700	-0.001243
15.490000	-6.886700	0.000000
15.500000	-6.886700	-0.001243
15.510000	-6.886700	-0.001243
15.520000	-6.886700	0.000000
15.530000	-6.886700	0.000000
15.540000	-6.886700	0.000000
15.550000	-6.886700	0.000000
15.560000	-6.886700	0.000000
15.570000	-6.886700	0.000000
15.580000	-6.886700	0.000000
15.590000	-6.886700	0.000000
15.600000	-6.886700	0.000000
15.610000	-6.886700	0.000000
15.620000	-6.886700	-0.001243
15.630000	-6.886700	-0.002487
15.640000	-6.886700	-0.001243
15.650000	-6.886700	0.000000
15.660000	-6.886700	0.001243
15.670000	-6.886700	0.000000
15.680000	-6.886700	-0.001243
15.690000	-6.886700	0.000000
15.700000	-6.886700	0.000000
15.710000	-6.886700	-0.001243
15.720000	-6.886700	-0.001243
15.730000	-6.886700	-0.001243
15.740000	-6.886700	0.000000
15.750000	-6.886700	0.000000
15.760000	-6.886700	0.000000
15.770000	-6.886700	0.000000
15.780000	-6.886700	-0.001243
15.790000	-6.886700	-0.001243
15.800000	-6.886700	0.000000
15.810000	-6.886700	-0.002487
15.820000	-6.886700	-0.001243
15.830000	-6.886700	0.001243
15.840000	-6.886700	0.001243
15.850000	-6.886700	-0.001243
15.860000	-6.886700	-0.001243
